Time,sleep_predictions
2021-01-13 22:41:00.500,1.0
2021-01-13 22:41:30.500,1.0
2021-01-13 22:42:00.500,1.0
2021-01-13 22:42:30.500,1.0
2021-01-13 22:43:00.500,1.0
2021-01-13 22:43:30.500,1.0
2021-01-13 22:44:00.500,1.0
2021-01-13 22:44:30.500,1.0
2021-01-13 22:45:00.500,1.0
2021-01-13 22:45:30.500,1.0
2021-01-13 22:46:00.500,1.0
2021-01-13 22:46:30.500,1.0
2021-01-13 22:47:00.500,1.0
2021-01-13 22:47:30.500,1.0
2021-01-13 22:48:00.500,0.0
2021-01-13 22:48:30.500,0.0
2021-01-13 22:49:00.500,0.0
2021-01-13 22:49:30.500,0.0
2021-01-13 22:50:00.500,0.0
2021-01-13 22:50:30.500,0.0
2021-01-13 22:51:00.500,0.0
2021-01-13 22:51:30.500,0.0
2021-01-13 22:52:00.500,0.0
2021-01-13 22:52:30.500,0.0
2021-01-13 22:53:00.500,0.0
2021-01-13 22:53:30.500,0.0
2021-01-13 22:54:00.500,0.0
2021-01-13 22:54:30.500,0.0
2021-01-13 22:55:00.500,0.0
2021-01-13 22:55:30.500,0.0
2021-01-13 22:56:00.500,0.0
2021-01-13 22:56:30.500,0.0
2021-01-13 22:57:00.500,0.0
2021-01-13 22:57:30.500,1.0
2021-01-13 22:58:00.500,1.0
2021-01-13 22:58:30.500,1.0
2021-01-13 22:59:00.500,1.0
2021-01-13 22:59:30.500,1.0
2021-01-13 23:00:00.500,1.0
2021-01-13 23:00:30.500,1.0
2021-01-13 23:01:00.500,1.0
2021-01-13 23:01:30.500,1.0
2021-01-13 23:02:00.500,1.0
2021-01-13 23:02:30.500,1.0
2021-01-13 23:03:00.500,1.0
2021-01-13 23:03:30.500,1.0
2021-01-13 23:04:00.500,1.0
2021-01-13 23:04:30.500,1.0
2021-01-13 23:05:00.500,1.0
2021-01-13 23:05:30.500,1.0
2021-01-13 23:06:00.500,1.0
2021-01-13 23:06:30.500,1.0
2021-01-13 23:07:00.500,1.0
2021-01-13 23:07:30.500,1.0
2021-01-13 23:08:00.500,1.0
2021-01-13 23:08:30.500,1.0
2021-01-13 23:09:00.500,1.0
2021-01-13 23:09:30.500,1.0
2021-01-13 23:10:00.500,1.0
2021-01-13 23:10:30.500,1.0
2021-01-13 23:11:00.500,1.0
2021-01-13 23:11:30.500,0.0
2021-01-13 23:12:00.500,1.0
2021-01-13 23:12:30.500,1.0
2021-01-13 23:13:00.500,1.0
2021-01-13 23:13:30.500,0.0
2021-01-13 23:14:00.500,1.0
2021-01-13 23:14:30.500,0.0
2021-01-13 23:15:00.500,0.0
2021-01-13 23:15:30.500,0.0
